,Url,Alt. namn,Adress,Namn
371,Visa/ullgrens-skola-for-gossar/35c7cfdc-1f1e-4a83-abe0-49fcbd76c12a,Änkehuspredikanten S.A. Ullgrens skola för gossar,Stortorget 3,Ullgrens skola för gossar
372,Visa/byalvskolan/d1d47b2c-3b9d-4ed4-ae5c-4a999e0f59cf,,Byälvsvägen 30,Byälvskolan
373,Visa/pabyggnadsutbildning-pu/2e1c5abd-9665-4daa-a0ce-4ac4eb550be8,,,Påbyggnadsutbildning (PU)
374,Visa/angby-od--1940-1951/45f50be2-36a4-4e14-9d10-4ad883389945,,,Ängby öd  1940-1951
375,Visa/yrkesskola/d0ba35d1-45c6-421f-b16c-4b17abe282e0,,,Yrkesskola
376,Visa/skonstaholmsskolan/58524495-e046-490e-a20e-4b1976fd2d28,,Lördagsvägen 20,Skönstaholmsskolan
377,Visa/gnosiaskolans-grundsarskola/e8534580-08aa-456f-9adf-4b6108c23b8d,,Gamla Södertäljevägen 3,Gnosiaskolans grundsärskola
378,Visa/anna-sandstroms-skola/1c469c25-a025-4383-8a0b-4b7b4a1db3b2,Anna Sandströms skola AB / Stiftelsen Anna Sandström skola,Karlavägen 1A (nu 25),Anna Sandströms skola
379,Visa/stenhagakallaskolan/a25cb57b-793c-428a-8437-4bd0ac7e19b0,Stenhagsskolan,Mariehamnsgatan 5,Stenhag/Akallaskolan
380,Visa/yrkesplugget/edb5bf42-d6cf-4f37-b981-4bf03866197a,Yrkesplugget Bromma,"Karlsbodavägen 18        2010-2016?
Johannesfredsvägen 9-11  2016-2020",Yrkesplugget
381,Visa/stockholm-international-academy-alvsjo/76946ba8-02cb-4714-9792-4c0134791e4b,Johannesgatan 18,Se historik mm.,Stockholm International Academy Älvsjö
382,Visa/kunskapsgymnasiet-kista/0b853037-8b62-4d20-a522-4c395e5192af,,"2007-2011  Skalholtsgatan 10
2011-2012  Isafjordsgatan 30C",Kunskapsgymnasiet Kista
383,Visa/hyllingeskolan/8f74026b-8c4d-4fbd-a495-4c52b6f026e1,,Hjulstastråket 15,Hyllingeskolan
384,Visa/bromma-resursskola/d4bb6f51-c809-4003-8778-4c81aee9ffbe,Hjorthagens skoldaghem / Bromma skoldaghem,Bergslagsvägen 80,Bromma resursskola
385,Visa/nya-elementars-vuxengymnasium/578dfe67-d22a-4f0c-9468-4cf451703f8d,,Bergslagsvägen 80,Nya Elementars vuxengymnasium
386,Visa/stockholms-stads-omskolningskurser/4bd7ccee-116b-4c02-9825-4d156bf8f3fe,,,Stockholms stads omskolningskurser
387,Visa/vastbergaskolan/0ff7af5d-5b66-4531-9487-4d237ee57962,,Klensmedsvägen 2,Västbergaskolan
388,Visa/spangen-resursskola/c4433803-2775-4003-8f87-4d3474ec9b99,Spången (skoldaghem),Glömmingegränd 35,Spången resursskola
389,Visa/rokindaskolan/a075180a-de21-4001-a855-4d7a2a0aaba7,,Farstavägen 112,Rökindaskolan
390,Visa/trollesund-resursskola/3337fc02-3a44-4387-a3ee-4da6ade55988,Bandhagens skoldaghem / Trollesundsskolans skoldaghem,Trollesundsvägen 66,Trollesund resursskola
391,Visa/marieborg-resursskola/b515d599-2096-44cc-9740-4df1d3f5f636,Marieborgs skoldaghem / Marieborgs resursskola / Barnhemmet Narieborgs skola / Flickhemmet Marieborgs skola / Marieborgs tonårshems skola / Marieborgs skolavdelning,se Historik mm !,Marieborg resursskola
392,Visa/lararhogskolan-i-stockholm-amneslararlinjen-i-1956-1977/2ea6dfa7-2d14-4e25-9681-4e61e897a4fe,,,"Lärarhögskolan i Stockholm, Ämneslärarlinjen I 1956-1977"
393,Visa/charkuteriskolan/6b2ac084-a69d-4450-8f28-4e80e4a0ceef,Charkskolan; Stockholms stads charkuteriskola,Hallvägen 7,Charkuteriskolan
394,Visa/marthaskolan/21d3a9f7-bccc-47f5-ab60-4ed49d572dd9,AB Märthaskolan,?,Märthaskolan
395,Visa/pysslingen-skolor---primaskolan-farsta/111ecaef-20a4-4284-975d-4f1ed231e9a5,Primaskolan / Primaskolan Farsta,Farstagången 30,Pysslingen skolor - Primaskolan Farsta
396,Visa/grondalsskolan/158d04f9-4662-4037-92ff-4f68a269bffa,,Blommensbergsvägen 116C,Gröndalsskolan
397,Visa/amanda-hallgrens-skola/0150a269-2ba9-4cd1-bcdd-4f7ff989e6ad,Mamsell Hallgrens skola,"1868-1871, 1873 Norra Tullportsgatan 2",Amanda Hallgrens skola
398,Visa/knutbyskolan/91c3af83-dad5-402c-95f8-4f82450453c6,,Knutbygränd 4,Knutbyskolan
399,Visa/stockholm-international-academy-vinsta/d65ef4c3-3bd6-4c9c-80d1-4f84aaba4bf9,,Krossgatan 32,Stockholm International Academy Vinsta
400,Visa/observatorielundens-skola/4e3df330-7dde-4cba-816b-4fa20c45134a,,-2014 Sandåsgatan 2/Norrtullsgatan 5,Observatorielundens skola
401,Visa/lunaskolan-ostra-gymnasium/19e9df76-ea8a-46ec-85c5-4ff366d6aef9,,"Kottlavägen 116, Lidingö",Lunaskolan Östra gymnasium
402,Visa/sodermalms-kommunala-flickskola/07e782db-4fc3-4299-84f2-500fd106ea36,,Timmermansgatan 21,Södermalms kommunala flickskola
403,Visa/vardyrkesskolan/553efdb5-0a58-4209-8b9e-502d7dfca2f7,,,Vårdyrkesskolan
404,Visa/olofskolan/6f6c7f86-b0dc-4119-938a-505cee9941a6,Montessoriskolan,"1925 anges Eriksbergsgatan 15
1938 anges Malmskillnadsgatan 47",Olofskolan
405,Visa/kristinebergsskolan-2/df97bae2-c085-4fdf-ba08-5063dc55e784,Kullskolan,Nordenflychtsvägen 22 (senare 20),Kristinebergsskolan 2
406,Visa/kocks-skola/c0a378e5-a00c-435c-8df1-507683147f42,Ida Kocks skola / Koch . . .,"1925 anges Bergportsvägen 45, Äppelviken",Kocks skola
407,Visa/norra-reals-vuxengymnasium-1--1969-1982/c7291945-4a46-489f-9653-50ad48d5a1e2,,,Norra Reals vuxengymnasium 1  1969-1982
408,Visa/praktiska-arbetsskolan/8f38851b-5e5c-4ea2-b9c9-50fe41a18701,,"1872 Regeringsgatan 28
Hamngatan
Brunkebergstorg",Praktiska arbetsskolan
409,Visa/militarinstitutet/eac28fd8-c44b-4f27-9db7-51139d91703f,,Malmskillnadsgatan 46,Militärinstitutet
410,Visa/kunskapsskolan-enskede/75671329-9b9b-45a1-a480-512b8622ec72,Kunskapsskolan i Enskede,Enskedevägen 89,Kunskapsskolan Enskede
411,Visa/bjorngardsskolan/1c370146-9b91-4870-b3cf-51f4480f165b,,Maria Prästgårdsgata 9,Björngårdsskolan
412,Visa/a-biraths-och-e-krooks-skola/1622ca35-0f4f-440d-ae49-52220d51fc20,,Majorgatan 9  1868-1871,A. Biraths och E. Krooks skola
413,Visa/statens-institut-for-hogre-utbildning-av-sjukskoterskor-sihus/c5ca8830-76bd-4095-84c8-5224a8321895,,,Statens institut för högre utbildning av sjuksköterskor (SIHUS)
414,Visa/claesonska-skolan/5f08b5a5-f1d5-443a-898a-526c32bf612a,"G.A. Claesons förberedande elementarskola för gossar
G. Claesons skola",S:t Paulsgatan 1  1871,Claesonska skolan
415,Visa/privatkursen-for-gossar/18f8d537-1bf5-45fa-9f8b-5284f5f3b542,,Tjärhovsgatan 54,Privatkursen för gossar
416,Visa/kungsholms-forsamlings-smabarnsskola/a94d6fd2-c1ec-458a-8351-5361e951fc8c,,se Historik mm !,Kungsholms församlings småbarnsskola
417,Visa/kungsholms-laroverk-for-flickor/dbeafa5a-0ec6-44b3-aac3-53664272e189,Privata elementarskolan å Kungsholmen / Hanna Blomquists skola,"1890-1923 Kungsholmsgatan 22 (fd 18, 10) / Scheelegatan 16 (hörnhus),
1923-1938 Kungsholmsgatan 30 (Kungsholmsgatan 22 anges 1925)",Kungsholms läroverk för flickor
418,Visa/cybergymnasiet-odenplan-soder/06e3a3b5-15cc-4ed3-9f94-536c20865c15,,Norrtullsgatan 6,Cybergymnasiet Odenplan Söder
419,Visa/hushallsskolan-margareta/1556e842-8a35-4f7f-a8be-53bb6380ef90,Margaretaskolan,se Historik mm !,Hushållsskolan Margareta
420,Visa/sofiaangens-skola--sofiaangens-skola-gymnasieskola/625d3527-a20a-4a45-91a1-544b44581dfc,"Sofiaängen AB, Sofiaängen",Bergsunds strand 43A,"Sofiaängens skola / Sofiaängens skola, gymnasieskola"
421,Visa/hasselby-folkskola/8b548b2a-0565-443f-8e9a-548beb4de8bf,Hässelby småskola,,Hässelby folkskola
