caption.sv,uuid
"Andersson, Pontus (1886 - 1971)",d8726c22-30a0-424d-a294-322dddbe9345
"Andersson, Regina (1880 - 1959)",022d2dc7-6249-41fb-bd29-9dc889f70039
"Andersson, Regina Sofia Maria (1887 - 1926)",bd6f0188-853f-4548-952d-ebf131db1d46
"Andersson, Selma Ch. (1868 - )",5bc06d02-51e0-4d87-a72c-cbd223d1bb5c
"Andersson, Signe Birgitta (1882 - 1965)",f7725cf6-bc31-4277-b24f-248c547ca9f5
"Andersson, Sigrid (1870 - 1933)",b9e29188-7f62-4b68-b577-17709d2d5cf7
"Andersson, Sophie (1851 - 1912)",074daead-f5af-4781-8578-5a4147bcf05f
"Andersson, Teresia (1888 - 1974)",43d3f94b-7f2b-4526-85ff-b08126a07054
"Andersson, Thor Gustaf Waldemar (1896 - 1941)",c3981011-21c2-49d6-8742-083cd9beb17c
"Andersson, Torbjörn (1942 - 2015)",083e4d2b-8246-4ba6-9b76-4b8061d9f220
"Andersson, Viktor Hjalmar Alfred (1882 - 1945)",a3c3da4a-9ea7-4c46-b902-354f9600e27f
"Andersson, Yngve Einar Valter (1911 - )",5e8af8ee-5de8-46a5-913b-2e254e0fe823
"Andersson, Yngve Wolter (1890 - 1965)",24768df6-3c21-4f71-986b-be9580c54852
"Anderzon, Gustaf (1836 - 1896)",a3e6dc9d-0307-4c24-8f1c-345f29c50c5a
"André, Signe (1879 - 1944)",afddf584-d4a6-4797-8f8d-cc5ad4a8827c
"Andreason, Elof Karl (1902 - 1972)",c4a4badf-17cc-4184-9cbe-a15ebda7d275
"Andrée, Gerda (1871 - 1967)",90428fa1-cb63-4b05-aebd-5c55f86102d4
"Andrée, Hilding Algot (1897 - 1978)",d7c3c17e-6205-4618-8aa2-77661fbed8a2
"Andrée, Jonas Robert (1829 - 1906)",3399c047-17a3-4146-ad71-4be201a102e9
"Andréen, Carl Gustaf (1874 - 1952)",570bf410-edd1-465f-b170-e9dacf9a766b
"Andrén, Edith (1878 - 1944)",7f8cc8b3-1c3a-4e8d-a9af-f98fa876bd51
"Andrén, Ida Konstantia (1858 - )",c86936a4-c7b9-4497-923e-5fef39625d7e
"Andrén, Karl (1868 - 1951)",1d3c4e87-eb37-403c-9cdb-9c2e24c33e28
"Angel, Gust. Vilhelm (1882 - 1940)",e6e12103-98b6-4cce-bb7c-7eb22efcf118
"Angel, Selma (1846 - 1933)",9e579705-2556-4654-be84-ed42c6ea5dd6
"Angnér, Ernst Gottfrid A (1883 - 1944)",abfcf095-3d0f-42a8-96c4-4d247d6977b8
"Ankarcrona, Anna (1862 - 1955)",e5314672-964c-41f0-9cfc-3e854765bf66
"Ankert, Anders Gustaf (1877 - 1949)",49518350-5575-4542-aed4-f54ea40a867b
"Anthonius, Anton Casper (1860 - 1945)",bac12eae-beab-4b75-be59-efd075ded356
"Apelgren, Amalia Wilhelmina (1866 - 1923)",c1dcde5e-b4fc-4179-8493-e5e644884767
