caption.sv,uuid
Jonssons Atelier (Fotograffirma),76729035-1137-498f-bdb9-3e46cc142c01
Järnmarks Atelier (Fotograffirma),e6e70ed5-a06b-4062-9c2b-aba75b8e6f7e
Jönköpings Nya Fotografi-Atelier (Fotograffirma),71cba88a-6e6a-4356-89da-f4b71969f52e
Jönsson & Co Lena (Fotograffirma),19decdc0-b625-4a8b-84f7-4fb87510abad
K & A Vikner (Fotograffirma),5a818bc3-2e4c-4ec7-8e4e-2fbebc2d69af
K. F. Karlsson (Fotograffirma),b28338a7-4949-4fb9-867c-61c1afe3a505
K. F. Karlssons Eftr. (Fotograffirma),ec97e6d5-573b-473d-a288-25a4cab04ebb
K.L. Lindelöw (Fotograffirma),d869d4fb-6775-43b1-8c6c-8661c234c39c
Kamerabilden (Fotograffirma),b18e9bdd-94e4-463c-89e0-128d5b7573ca
Kangedals foto AB (Fotograffirma),160c526c-33d6-416a-859c-698e2bbf5f99
Karl Ågrens Fotografiska Atelier (Fotograffirma),bc4bc497-6972-4f40-8b94-2730806c57a2
Karlsson & Bergström (Fotograffirma),57fab2b7-f33a-434b-8a1b-1ce8e535fc77
Kastengren (Fotograffirma),95e64f1d-9b2b-4cb3-82b1-8977628e51c4
Kierkegaard & Dabelstein (Fotograffirma),401bbfcd-f6ab-47da-a06f-292390683a01
Klemmings Atelier (Fotograffirma),79b623a6-af5d-45b9-ba43-c02743d02aa2
Kollberg & Sjödin (Fotograffirma),04561743-7af3-4c00-befb-2ba4b67999b1
Kommersiell Foto,92550ec2-f528-478e-b7c2-38f3658f9e13
Kungelfs Fotografiateljé (Fotograffirma),8ecbfa78-b263-497c-9dd5-f03f93c5ff3b
Kungsholms Fotografiatelier (Fotograffirma),21baf633-b017-475f-933a-c0d0a922700e
Kungsörs fotografiatelier (Fotograffirma),386cc10a-2f65-4aaf-b1c2-990216b59655
Küller & Wallgren (Fotograffirma),db149e0a-8316-4089-b2b2-aa65288a4213
L. & I. Lundberg (Fotograffirma),621e5701-4af5-445d-adf1-2ccce01584ee
L. Lundberg (Fotograffirma),3cb89727-b863-4954-b98f-f29067bd4156
Larson & Karlson (Fotograffirma),ce09b216-959b-414d-9ea8-c0beaf61d422
Levall & Co (Fotograffirma),afa3e6aa-aa88-4f55-acf7-3f5f246d8e46
Lidwall & Co (Fotograffirma),5f6ee65d-70fd-4685-891b-44acca401e45
Lina Jonn (Fotograffirma),b0b4a465-fcab-4d21-a769-a36fb9d531ae
"Lina Jonn Atelier, Maria Jonn (Fotograffirma)",0c95625c-46a1-4274-b5d5-60e356b7839d
"Lina Jonns Eftr., P Bagge (Fotograffirma)",b7b34f81-4e10-40f1-890e-1ad6dd59c008
Lindahls ateljé (Fotograffirma),01639635-ca51-41b4-a58f-9815c122faa9
Lindberg & Sjöberg (Fotograffirma),b47f7360-2313-419f-8c74-08d195440bac
Lindbergs Eftr. Adèle (Fotograffirma),afa74526-2dcb-4c9a-941b-077ae23ec4bb
Lindgren & Co (Fotograffirma),553a41f8-a3bf-4471-bba8-fb3bbc3ea1f1
Ludv. Ericsons Eftr (Fotograffirma),57ce050e-7c69-4e24-a76e-e3e5fb9ecfa5
Lundberg & Holmberg (Fotograffirma),3e184c52-4e48-4b3d-b093-365a807fada9
Lundholm & Bruhn (Fotograffirma),1fca4cb8-3fc3-4279-952c-a93a85656ab5
Lundholm & Co (Fotograffirma),4d79050b-5c11-40c9-80da-611c0d682ed7
Lundin & Rådström (Fotograffirma),61500661-4412-4d32-a20f-7203d1e50b20
Lundmarks Eftr. (Fotograffirma),9e576acc-0980-4734-b4cd-31c40a430593
Lunds Nya Foto Atelier (Fotograffirma),06bab2c6-ca7a-4ecd-ad94-8da85c66af96
Lydia Dahlbergs atelier (Fotograffirma),a49b6719-cda5-46f7-82ad-9affc7a98331
M. W. Wallberg & C:o (Fotograffirma),736f4160-0c0b-4e81-b8a2-7dec42d2e693
Maria Jonn (Fotograffirma),66ebaf3a-c4e8-4834-a8b7-bec325f062f2
